"station","date","lat","lon","NO23","uni"
"21FLMANA_WQX-422","1997-10-13",27.5574833,-82.6332166,0.01,"mg/L"
"21FLMANA_WQX-421","1997-12-08",27.5765083,-82.6524944,0.021,"mg/L"
"21FLMANA_WQX-386","1997-12-08",27.6059861,-82.6011666,0.023,"mg/L"
"21FLMANA_WQX-336","1997-12-17",27.6474222,-82.5651611,0.127,"mg/L"
"21FLMANA_WQX-460","1997-12-08",27.5167083,-82.6853166,0.023,"mg/L"
"21FLMANA_WQX-432","1997-12-08",27.5431,-82.6445527,0.023,"mg/L"
"21FLMANA_WQX-357","1997-12-08",27.6494777,-82.5784527,0.023,"mg/L"
"21FLMANA_WQX-428","1997-02-04",27.5520083,-82.6717,0.009,"mg/L"
"21FLMANA_WQX-361","1997-10-13",27.6285166,-82.5919333,0.01,"mg/L"
"21FLMANA_WQX-435","1997-01-13",27.533,-82.6668333,0.066,"mg/L"
"21FLMANA_WQX-400","1997-10-28",27.5725833,-82.6296444,0.02,"mg/L"
"21FLMANA_WQX-432","1997-01-13",27.5431,-82.6445527,0.056,"mg/L"
"21FLMANA_WQX-202","1997-02-03",27.6665361,-82.5590666,0.006,"mg/L"
"21FLMANA_WQX-421","1997-02-03",27.5765083,-82.6524944,0.01,"mg/L"
"21FLMANA_WQX-405","1997-10-29",27.5526666,-82.5706666,0.02,"mg/L"
"21FLMANA_WQX-428","1997-12-08",27.5520083,-82.6717,0.023,"mg/L"
"21FLMANA_WQX-395","1997-12-15",27.5508861,-82.5730722,0.027,"mg/L"
"21FLMANA_WQX-456","1997-12-17",27.5322916,-82.6884444,0.085,"mg/L"
"21FLMANA_WQX-449","1997-10-28",27.5458083,-82.70095,0.01,"mg/L"
"21FLMANA_WQX-408","1997-10-13",27.5478333,-82.5991666,0.01,"mg/L"
"21FLMANA_WQX-422","1997-12-15",27.5574833,-82.6332166,0.027,"mg/L"
"21FLMANA_WQX-430","1997-10-29",27.5273305,-82.6095805,0.03,"mg/L"
"21FLMANA_WQX-432","1997-02-03",27.5431,-82.6445527,0.011,"mg/L"
"21FLMANA_WQX-449","1997-01-14",27.5458083,-82.70095,0.043,"mg/L"
"21FLMANA_WQX-336","1997-10-13",27.6474222,-82.5651611,0.01,"mg/L"
"21FLMANA_WQX-464","1997-04-22",27.4960361,-82.6954416,0.015,"mg/L"
"21FLMANA_WQX-464","1998-01-05",27.4960361,-82.6954416,0.024,"mg/L"
"21FLMANA_WQX-430","1998-04-06",27.5273305,-82.6095805,0.034,"mg/L"
"21FLMANA_WQX-449","1998-01-06",27.5458083,-82.70095,0.022,"mg/L"
"21FLMANA_WQX-362","1998-08-27",27.612975,-82.5776416,0.061,"mg/L"
"21FLMANA_WQX-449","1998-04-06",27.5458083,-82.70095,0.025,"mg/L"
"21FLMANA_WQX-386","1998-06-29",27.6059861,-82.6011666,0.013,"mg/L"
"21FLMANA_WQX-365","1998-06-29",27.6124472,-82.60665,0.01,"mg/L"
"21FLMANA_WQX-408","1998-03-03",27.5478333,-82.5991666,0.047,"mg/L"
"21FLMANA_WQX-408","1998-10-13",27.5478333,-82.5991666,0.012,"mg/L"
"21FLMANA_WQX-357","1998-02-09",27.6494777,-82.5784527,0.031,"mg/L"
"21FLMANA_WQX-202","1998-08-27",27.6665361,-82.5590666,0.035,"mg/L"
"21FLMANA_WQX-400","1998-01-05",27.5725833,-82.6296444,0.024,"mg/L"
"21FLMANA_WQX-362","1998-02-09",27.612975,-82.5776416,0.024,"mg/L"
"21FLMANA_WQX-361","1998-06-29",27.6285166,-82.5919333,0.01,"mg/L"
"21FLMANA_WQX-432","1998-08-26",27.5431,-82.6445527,0.056,"mg/L"
"21FLMANA_WQX-459","1998-06-09",27.5288277,-82.7036111,0.01,"mg/L"
"21FLMANA_WQX-430","1998-01-05",27.5273305,-82.6095805,0.129,"mg/L"
"21FLMANA_WQX-395","1998-03-03",27.5508861,-82.5730722,0.063,"mg/L"
"21FLMANA_WQX-395","1998-06-29",27.5508861,-82.5730722,0.01,"mg/L"
"21FLMANA_WQX-405","1998-10-13",27.5526666,-82.5706666,0.011,"mg/L"
"21FLMANA_WQX-386","1998-08-27",27.6059861,-82.6011666,0.04,"mg/L"
"21FLMANA_WQX-459","1998-03-03",27.5288277,-82.7036111,0.043,"mg/L"
"21FLMANA_WQX-405","1998-04-06",27.5526666,-82.5706666,0.03,"mg/L"
"21FLMANA_WQX-421","1998-08-27",27.5765083,-82.6524944,0.045,"mg/L"
"21FLMANA_WQX-452","1998-08-26",27.5412777,-82.7170555,0.071,"mg/L"
"21FLMANA_WQX-361","1998-03-03",27.6285166,-82.5919333,0.098,"mg/L"
"21FLMANA_WQX-396","1998-10-13",27.5910583,-82.6217555,0.011,"mg/L"
"21FLMANA_WQX-400","1998-10-13",27.5725833,-82.6296444,0.01,"mg/L"
"21FLMANA_WQX-658","1998-03-04",27.4811166,-82.6992861,0.011,"mg/L"
"21FLMANA_WQX-422","1998-03-03",27.5574833,-82.6332166,0.044,"mg/L"
"21FLMANA_WQX-396","1998-03-03",27.5910583,-82.6217555,0.042,"mg/L"
"21FLMANA_WQX-400","1998-04-06",27.5725833,-82.6296444,0.025,"mg/L"
"21FLMANA_WQX-405","1998-01-05",27.5526666,-82.5706666,0.034,"mg/L"
"21FLMANA_WQX-455","1998-01-06",27.535,-82.7313333,0.024,"mg/L"
"21FLMANA_WQX-460","1998-02-09",27.5167083,-82.6853166,0.012,"mg/L"
"21FLMANA_WQX-658","1998-06-09",27.4811166,-82.6992861,0.01,"mg/L"
"21FLMANA_WQX-456","1998-06-09",27.5322916,-82.6884444,0.01,"mg/L"
"21FLMANA_WQX-357","1998-08-27",27.6494777,-82.5784527,0.061,"mg/L"
"21FLMANA_WQX-432","1998-02-09",27.5431,-82.6445527,0.012,"mg/L"
"21FLMANA_WQX-428","1998-08-27",27.5520083,-82.6717,0.05,"mg/L"
"21FLMANA_WQX-422","1998-10-13",27.5574833,-82.6332166,0.01,"mg/L"
"21FLMANA_WQX-658","1998-10-12",27.4811166,-82.6992861,0.01,"mg/L"
"21FLMANA_WQX-386","1998-02-09",27.6059861,-82.6011666,0.031,"mg/L"
"21FLMANA_WQX-365","1998-10-13",27.6124472,-82.60665,0.01,"mg/L"
"21FLMANA_WQX-425","1998-10-13",27.5482722,-82.6607333,0.012,"mg/L"
"21FLMANA_WQX-432","1998-11-16",27.5431,-82.6445527,0.05,"mg/L"
"21FLMANA_WQX-464","1998-04-07",27.4960361,-82.6954416,0.04,"mg/L"
"21FLMANA_WQX-425","1998-01-05",27.5482722,-82.6607333,0.024,"mg/L"
"21FLMANA_WQX-460","1998-06-09",27.5167083,-82.6853166,0.01,"mg/L"
"21FLMANA_WQX-396","1998-06-29",27.5910583,-82.6217555,0.01,"mg/L"
"21FLMANA_WQX-365","1998-03-03",27.6124472,-82.60665,0.049,"mg/L"
"21FLMANA_WQX-435","1998-04-06",27.533,-82.6668333,0.023,"mg/L"
"21FLMANA_WQX-452","1998-06-09",27.5412777,-82.7170555,0.01,"mg/L"
"21FLMANA_WQX-452","1998-02-09",27.5412777,-82.7170555,0.015,"mg/L"
"21FLMANA_WQX-460","1998-08-26",27.5167083,-82.6853166,0.066,"mg/L"
"21FLMANA_WQX-428","1998-02-09",27.5520083,-82.6717,0.028,"mg/L"
"21FLMANA_WQX-430","1998-10-13",27.5273305,-82.6095805,0.019,"mg/L"
"21FLMANA_WQX-421","1998-02-09",27.5765083,-82.6524944,0.021,"mg/L"
"21FLMANA_WQX-456","1998-10-12",27.5322916,-82.6884444,0.01,"mg/L"
"21FLMANA_WQX-202","1998-06-29",27.6665361,-82.5590666,0.01,"mg/L"
"21FLMANA_WQX-456","1998-03-04",27.5322916,-82.6884444,0.035,"mg/L"
"21FLMANA_WQX-362","1998-06-29",27.612975,-82.5776416,0.013,"mg/L"
"21FLMANA_WQX-428","1998-11-16",27.5520083,-82.6717,0.05,"mg/L"
"21FLMANA_WQX-357","1998-06-29",27.6494777,-82.5784527,0.01,"mg/L"
"21FLMANA_WQX-435","1998-01-05",27.533,-82.6668333,0.094,"mg/L"
"21FLMANA_WQX-361","1998-10-13",27.6285166,-82.5919333,0.01,"mg/L"
"21FLMANA_WQX-449","1998-10-12",27.5458083,-82.70095,0.032,"mg/L"
"21FLMANA_WQX-455","1998-04-06",27.535,-82.7313333,0.023,"mg/L"
"21FLMANA_WQX-455","1998-10-12",27.535,-82.7313333,0.01,"mg/L"
